id,user_id,question_id,points,username,submitted_at
1,1235457227733864469,9,60,najir_11320,"2024-10-25 19:21:23.631099"
2,1298672386534539475,7,-10,dodo98712050,"2024-10-25 19:21:40.401706"
4,1235457227733864469,25,120,najir_11320,"2024-10-25 20:44:37.671239"
9,1235457227733864469,8,60,najir_11320,"2024-10-25 21:47:41.299445"
13,1235457227733864469,31,80,najir_11320,"2024-10-25 22:18:40.246814"
16,1235457227733864469,28,60,najir_11320,"2024-10-25 22:32:38.813740"
21,1235457227733864469,14,60,najir_11320,"2024-10-25 22:45:08.440826"
23,1235457227733864469,32,60,najir_11320,"2024-10-26 00:05:15.913896"
24,1235457227733864469,121,120,najir_11320,"2024-10-26 00:06:14.102670"
29,1298672386534539475,105,-10,dodo98712050,"2024-10-26 00:32:06.272094"
30,1298672386534539475,263,-10,dodo98712050,"2024-10-26 07:04:04.502725"
31,1298672386534539475,62,-10,dodo98712050,"2024-10-26 07:05:33.245745"
32,1298672386534539475,247,-10,dodo98712050,"2024-10-26 07:10:31.321712"
33,1298672386534539475,201,-10,dodo98712050,"2024-10-26 07:11:14.398591"
34,1298672386534539475,233,60,dodo98712050,"2024-10-26 07:12:57.904963"
37,1235457227733864469,64,80,najir_11320,"2024-10-26 09:35:28.902836"
38,1235457227733864469,161,0,najir_11320,"2024-10-26 12:48:08.651534"
39,1235457227733864469,90,0,najir_11320,"2024-10-26 12:48:43.565799"
40,1235457227733864469,52,80,najir_11320,"2024-10-26 14:56:01.410021"
41,1235457227733864469,256,60,najir_11320,"2024-10-26 14:56:30.860522"
46,1235457227733864469,237,60,najir_11320,"2024-10-26 15:04:10.296642"
48,1298672386534539475,303,-20,dodo98712050,"2024-10-26 15:06:53.330506"
53,1235457227733864469,246,120,najir_11320,"2024-10-26 16:25:22.194302"
56,1298672386534539475,90,-40,dodo98712050,"2024-10-26 17:48:40.908087"
59,1235457227733864469,149,120,najir_11320,"2024-10-26 18:16:38.176981"
64,1235457227733864469,166,120,najir_11320,"2024-10-26 19:29:37.496994"
65,1298672386534539475,79,-10,dodo98712050,"2024-10-26 23:14:55.308634"
66,1298672386534539475,143,-10,dodo98712050,"2024-10-26 23:20:11.651296"
67,1298672386534539475,143,120,dodo98712050,"2024-10-26 23:21:47.798532"
68,1235457227733864469,251,130,najir_11320,"2024-10-27 16:02:59.221691"
70,1235457227733864469,16,120,najir_11320,"2024-10-27 16:12:58.287864"
71,1300128666302414880,66,-10,amit044024,"2024-10-27 16:53:26.543300"
76,848234085348671488,9,120,dai7350,"2024-10-27 18:14:04.326387"
77,848234085348671488,29,170,dai7350,"2024-10-27 18:22:46.556689"
78,1118952405804003369,67,-10,uday3007,"2024-10-27 18:22:56.097256"
79,1118952405804003369,67,160,uday3007,"2024-10-27 18:25:14.251237"
80,848234085348671488,280,180,dai7350,"2024-10-27 18:28:38.201207"
83,1235457227733864469,163,120,najir_11320,"2024-10-27 20:14:17.890395"
85,1235457227733864469,308,120,najir_11320,"2024-10-27 20:39:30.195271"
86,1298672386534539475,15,130,dodo98712050,"2024-10-27 20:49:09.913066"
87,687329197135626341,268,80,chiranjeev3210,"2024-10-27 21:21:24.261235"
88,687329197135626341,107,90,chiranjeev3210,"2024-10-27 22:00:54.198274"
90,687329197135626341,297,100,chiranjeev3210,"2024-10-28 10:31:50.800551"
91,687329197135626341,8,90,chiranjeev3210,"2024-10-28 10:33:07.379432"
94,1235457227733864469,72,120,najir_11320,"2024-10-28 11:16:48.241229"
98,1235457227733864469,171,0,najir_11320,"2024-10-28 16:05:00.219811"
99,1298672386534539475,171,0,dodo98712050,"2024-10-28 16:05:00.323690"
102,1298672386534539475,107,-20,dodo98712050,"2024-10-28 16:45:00.348466"
104,1235457227733864469,235,60,najir_11320,"2024-10-29 05:32:05.618827"
105,1235457227733864469,13,70,najir_11320,"2024-10-29 05:37:48.320809"
107,1235457227733864469,305,60,najir_11320,"2024-10-29 05:48:51.163129"
109,1262933589515833357,306,60,ashh011880,"2024-10-29 08:35:43.023695"
110,1235457227733864469,372,0,najir_11320,"2024-10-29 09:39:43.175216"
111,1112840424097325096,255,60,amandeep.kaur,"2024-10-29 09:40:16.082358"
112,1298672386534539475,372,-10,dodo98712050,"2024-10-29 09:40:52.823771"
113,1235457227733864469,400,90,najir_11320,"2024-10-29 11:05:27.287069"
114,1235457227733864469,373,140,najir_11320,"2024-10-29 11:22:59.408836"
115,1179805293518004286,259,80,harshavardhan29,"2024-10-29 13:58:48.379792"
116,1179805293518004286,288,90,harshavardhan29,"2024-10-29 14:01:47.164144"
117,1179805293518004286,279,-10,harshavardhan29,"2024-10-29 14:07:28.534979"
118,1179805293518004286,279,80,harshavardhan29,"2024-10-29 14:10:41.728967"
119,1179805293518004286,147,70,harshavardhan29,"2024-10-29 14:13:59.865264"
120,1179805293518004286,96,100,harshavardhan29,"2024-10-29 14:43:18.210383"
121,1060410743834546186,91,80,pradeep2449,"2024-10-29 14:53:21.805574"
122,1294768227401863189,246,60,sahib_08740,"2024-10-29 15:14:46.786421"
123,1300839064781455401,400,80,anusha_sha,"2024-10-29 15:16:56.725855"
124,1294768227401863189,248,70,sahib_08740,"2024-10-29 15:20:05.408106"
125,1294768227401863189,239,80,sahib_08740,"2024-10-29 15:22:06.222258"
126,1294768227401863189,303,90,sahib_08740,"2024-10-29 15:27:38.388872"
127,1298672386534539475,96,-20,dodo98712050,"2024-10-29 16:00:00.381997"
129,1112840424097325096,96,-20,amandeep.kaur,"2024-10-29 16:00:00.421758"
130,1300859158136098947,60,80,bhavin0952,"2024-10-29 16:47:03.493597"
131,1224471913867251773,19,80,sigmund_freud_36467,"2024-10-29 16:54:18.684782"
132,1300839064781455401,373,-10,anusha_sha,"2024-10-29 17:05:12.821339"
133,1300839064781455401,373,120,anusha_sha,"2024-10-29 17:05:54.218895"
134,1179805293518004286,177,110,harshavardhan29,"2024-10-29 17:13:22.364582"
135,1300839064781455401,171,90,anusha_sha,"2024-10-29 17:14:48.200921"
136,1300859530166403143,288,80,shubhampanthri_12929,"2024-10-29 17:15:29.458520"
137,1300839064781455401,311,-10,anusha_sha,"2024-10-29 17:29:17.257628"
138,1300839064781455401,311,80,anusha_sha,"2024-10-29 17:30:43.865019"
139,1300859530166403143,277,90,shubhampanthri_12929,"2024-10-29 17:37:24.756709"
140,1300839064781455401,320,-10,anusha_sha,"2024-10-29 17:40:08.674936"
141,1300839064781455401,320,-10,anusha_sha,"2024-10-29 17:41:01.808937"
142,1300859530166403143,299,100,shubhampanthri_12929,"2024-10-29 17:51:00.811120"
143,1179805293518004286,46,-10,harshavardhan29,"2024-10-29 18:35:41.310075"
144,1179805293518004286,46,80,harshavardhan29,"2024-10-29 18:38:34.777577"
145,1179805293518004286,290,90,harshavardhan29,"2024-10-29 18:47:44.857626"
146,1179805293518004286,281,100,harshavardhan29,"2024-10-29 18:49:33.186201"
147,1179805293518004286,217,110,harshavardhan29,"2024-10-29 18:54:28.863443"
148,1179805293518004286,346,120,harshavardhan29,"2024-10-29 19:10:46.476597"
149,1202370332053344306,284,80,rahulgummal,"2024-10-29 20:43:28.943831"
150,687329197135626341,174,-10,chiranjeev3210,"2024-10-29 22:01:56.398046"
151,687329197135626341,174,-10,chiranjeev3210,"2024-10-29 22:03:19.255866"
152,687329197135626341,174,-10,chiranjeev3210,"2024-10-29 22:04:41.440590"
153,687329197135626341,59,120,chiranjeev3210,"2024-10-29 22:17:13.399684"
154,687329197135626341,66,90,chiranjeev3210,"2024-10-29 22:25:23.274172"
155,1060410743834546186,110,-10,pradeep2449,"2024-10-30 03:42:13.159051"
156,1060410743834546186,110,-10,pradeep2449,"2024-10-30 03:45:07.998267"
157,1060410743834546186,110,80,pradeep2449,"2024-10-30 03:47:14.613882"
158,1300859530166403143,183,110,shubhampanthri_12929,"2024-10-30 04:09:58.170444"
159,1300859530166403143,87,160,shubhampanthri_12929,"2024-10-30 04:17:51.419369"
160,1300859530166403143,79,170,shubhampanthri_12929,"2024-10-30 04:25:52.396066"
161,1179805293518004286,133,-10,harshavardhan29,"2024-10-30 05:42:54.520396"
162,1179805293518004286,133,-10,harshavardhan29,"2024-10-30 05:44:14.562054"
163,1179805293518004286,133,120,harshavardhan29,"2024-10-30 05:47:43.386158"
164,1179805293518004286,68,-10,harshavardhan29,"2024-10-30 05:53:51.806726"
165,1179805293518004286,68,-10,harshavardhan29,"2024-10-30 05:56:32.319222"
166,1179805293518004286,68,120,harshavardhan29,"2024-10-30 05:56:59.776402"
167,1179805293518004286,79,130,harshavardhan29,"2024-10-30 06:01:04.512159"
168,1179805293518004286,354,100,harshavardhan29,"2024-10-30 06:12:06.597822"
169,1179805293518004286,60,110,harshavardhan29,"2024-10-30 06:14:52.329294"
170,1301069060150136936,243,60,bharath_66231,"2024-10-30 06:34:33.202776"
171,1060410743834546186,238,70,pradeep2449,"2024-10-30 07:15:14.744702"
172,1301069946561892392,192,60,tanvi_88897,"2024-10-30 07:50:01.914460"
173,1301069946561892392,266,90,tanvi_88897,"2024-10-30 07:59:49.306452"
174,1301096875272699904,278,80,adventurous_unicorn_71057,"2024-10-30 08:46:22.391926"
175,1301096875272699904,308,70,adventurous_unicorn_71057,"2024-10-30 08:53:56.250603"
176,1301096875272699904,288,100,adventurous_unicorn_71057,"2024-10-30 08:57:43.575799"
177,1301096875272699904,232,90,adventurous_unicorn_71057,"2024-10-30 09:00:26.245214"
178,1301096875272699904,93,-10,adventurous_unicorn_71057,"2024-10-30 09:08:53.877037"
179,1301096875272699904,93,-10,adventurous_unicorn_71057,"2024-10-30 09:10:31.671430"
180,1301096875272699904,172,80,adventurous_unicorn_71057,"2024-10-30 09:22:10.613951"
181,1301110299889504358,91,80,vamsi_39440,"2024-10-30 09:34:02.415564"
182,1301110299889504358,364,90,vamsi_39440,"2024-10-30 09:47:36.450762"
183,1301096875272699904,208,-10,adventurous_unicorn_71057,"2024-10-30 10:00:52.579796"
184,1301096875272699904,208,-10,adventurous_unicorn_71057,"2024-10-30 10:01:56.828921"
185,1301096875272699904,208,-10,adventurous_unicorn_71057,"2024-10-30 10:03:41.641449"
186,1060410743834546186,107,100,pradeep2449,"2024-10-30 10:34:40.964525"
187,1060410743834546186,66,110,pradeep2449,"2024-10-30 10:49:40.587709"
188,1301096875272699904,333,80,adventurous_unicorn_71057,"2024-10-30 10:57:42.531852"
189,1301096875272699904,341,-10,adventurous_unicorn_71057,"2024-10-30 11:03:31.496046"
190,639395659706794006,258,60,ttbhai,"2024-10-30 11:04:27.890090"
191,1301096875272699904,341,-10,adventurous_unicorn_71057,"2024-10-30 11:04:57.491747"
